environment,algorithm,mean_return_100k,std_return_100k,mean_return_250k,std_return_250k,mean_return_500k,std_return_500k
HalfCheetah-v5,PPO,-0.5180991092857722,0.3270747425374235,-1.9518709358544093,8.335323100880865,-1.9518709358544093,8.335323100880865
HalfCheetah-v5,SAC,-40.98050369453479,8.666588580509124,1.7327272064578636,82.53173382938378,1.7327272064578636,82.53173382938378
HalfCheetah-v5,TD3,-300.3236118207811,281.96446768232926,572.2770750810023,838.4106709315582,572.2770750810023,838.4106709315582
HalfCheetah-v5,DDPG,-168.5968129475952,405.1714405881072,937.544572777131,523.1079651997507,937.544572777131,523.1079651997507
HalfCheetah-v5,TQC,-40.79892056343492,7.970462553313427,475.2629666894027,306.90978138646005,475.2629666894027,306.90978138646005
Hopper-v5,PPO,118.95998298541262,48.337444340207846,223.39661931376682,11.680292131501796,223.39661931376682,11.680292131501796
Hopper-v5,SAC,195.11240063406015,25.029828339045658,406.90837070151304,205.77767862723854,406.90837070151304,205.77767862723854
Hopper-v5,TD3,142.53531095086834,143.01754950537688,139.14297742008483,124.02941637956764,139.14297742008483,124.02941637956764
Hopper-v5,DDPG,113.97365185429877,61.92347016164087,221.9536108488985,144.98754415105256,221.9536108488985,144.98754415105256
Hopper-v5,TQC,204.3378949153931,22.3229835011987,318.5680612376421,33.94043700732811,318.5680612376421,33.94043700732811
Walker2d-v5,PPO,258.60874281837465,3.5319025235091717,277.14473955637055,4.984348116710133,277.14473955637055,4.984348116710133
Walker2d-v5,SAC,324.1011232727286,29.35363384707036,580.3091357844081,218.3392611892071,580.3091357844081,218.3392611892071
Walker2d-v5,TD3,69.44370322882051,58.938423753513916,248.25891346581767,134.43600499105818,248.25891346581767,134.43600499105818
Walker2d-v5,DDPG,73.10908310253879,45.992653730887604,218.70672081970912,160.3133759955343,218.70672081970912,160.3133759955343
Walker2d-v5,TQC,321.30540387721896,22.636911053038315,475.055986093291,76.99006340385563,475.055986093291,76.99006340385563
