run_id,environment,algorithm,seed,total_timesteps,eval_freq,n_eval_episodes,device,wall_clock_seconds,sb3_version,torch_version
HalfCheetah-v5__PPO__seed00__steps250000,HalfCheetah-v5,PPO,0,250000,12500,10,cpu,350.45,2.9.0,2.12.1+cu126
HalfCheetah-v5__PPO__seed01__steps250000,HalfCheetah-v5,PPO,1,250000,12500,10,cpu,364.72,2.9.0,2.12.1+cu126
HalfCheetah-v5__PPO__seed02__steps250000,HalfCheetah-v5,PPO,2,250000,12500,10,cpu,381.12,2.9.0,2.12.1+cu126
HalfCheetah-v5__PPO__seed03__steps250000,HalfCheetah-v5,PPO,3,250000,12500,10,cpu,383.33,2.9.0,2.12.1+cu126
HalfCheetah-v5__PPO__seed04__steps250000,HalfCheetah-v5,PPO,4,250000,12500,10,cpu,389.38,2.9.0,2.12.1+cu126
HalfCheetah-v5__SAC__seed00__steps250000,HalfCheetah-v5,SAC,0,250000,12500,10,cpu,363.49,2.9.0,2.12.1+cu126
HalfCheetah-v5__SAC__seed01__steps250000,HalfCheetah-v5,SAC,1,250000,12500,10,cpu,364.52,2.9.0,2.12.1+cu126
HalfCheetah-v5__SAC__seed02__steps250000,HalfCheetah-v5,SAC,2,250000,12500,10,cpu,372.1,2.9.0,2.12.1+cu126
HalfCheetah-v5__SAC__seed03__steps250000,HalfCheetah-v5,SAC,3,250000,12500,10,cpu,389.04,2.9.0,2.12.1+cu126
HalfCheetah-v5__SAC__seed04__steps250000,HalfCheetah-v5,SAC,4,250000,12500,10,cpu,391.65,2.9.0,2.12.1+cu126
HalfCheetah-v5__TD3__seed00__steps250000,HalfCheetah-v5,TD3,0,250000,12500,10,cpu,311.98,2.9.0,2.12.1+cu126
HalfCheetah-v5__TD3__seed01__steps250000,HalfCheetah-v5,TD3,1,250000,12500,10,cpu,318.9,2.9.0,2.12.1+cu126
HalfCheetah-v5__TD3__seed02__steps250000,HalfCheetah-v5,TD3,2,250000,12500,10,cpu,325.42,2.9.0,2.12.1+cu126
HalfCheetah-v5__TD3__seed03__steps250000,HalfCheetah-v5,TD3,3,250000,12500,10,cpu,325.57,2.9.0,2.12.1+cu126
HalfCheetah-v5__TD3__seed04__steps250000,HalfCheetah-v5,TD3,4,250000,12500,10,cpu,325.45,2.9.0,2.12.1+cu126
HalfCheetah-v5__DDPG__seed00__steps250000,HalfCheetah-v5,DDPG,0,250000,12500,10,cpu,299.87,2.9.0,2.12.1+cu126
HalfCheetah-v5__DDPG__seed01__steps250000,HalfCheetah-v5,DDPG,1,250000,12500,10,cpu,296.73,2.9.0,2.12.1+cu126
HalfCheetah-v5__DDPG__seed02__steps250000,HalfCheetah-v5,DDPG,2,250000,12500,10,cpu,293.59,2.9.0,2.12.1+cu126
HalfCheetah-v5__DDPG__seed03__steps250000,HalfCheetah-v5,DDPG,3,250000,12500,10,cpu,299.81,2.9.0,2.12.1+cu126
HalfCheetah-v5__DDPG__seed04__steps250000,HalfCheetah-v5,DDPG,4,250000,12500,10,cpu,297.23,2.9.0,2.12.1+cu126
HalfCheetah-v5__TQC__seed00__steps250000,HalfCheetah-v5,TQC,0,250000,12500,10,cpu,445.53,2.9.0,2.12.1+cu126
HalfCheetah-v5__TQC__seed01__steps250000,HalfCheetah-v5,TQC,1,250000,12500,10,cpu,380.22,2.9.0,2.12.1+cu126
HalfCheetah-v5__TQC__seed02__steps250000,HalfCheetah-v5,TQC,2,250000,12500,10,cpu,374.45,2.9.0,2.12.1+cu126
HalfCheetah-v5__TQC__seed03__steps250000,HalfCheetah-v5,TQC,3,250000,12500,10,cpu,374.69,2.9.0,2.12.1+cu126
HalfCheetah-v5__TQC__seed04__steps250000,HalfCheetah-v5,TQC,4,250000,12500,10,cpu,266.8,2.9.0,2.12.1+cu126
