environment,algorithm,mean_auc,std_auc
HalfCheetah-v5,PPO,-250936.5478737597,563183.0732955699
HalfCheetah-v5,SAC,-2179793.280776014,2456542.580336587
HalfCheetah-v5,TD3,-27652690.75845881,57214635.91372863
HalfCheetah-v5,DDPG,21381030.86639511,50747802.49825941
HalfCheetah-v5,TQC,18942281.024097957,8995502.751654405
Hopper-v5,PPO,45347161.296411246,4397553.919407221
Hopper-v5,SAC,58385419.57846848,6407998.3194877645
Hopper-v5,TD3,27596743.83220184,22415516.74707889
Hopper-v5,DDPG,35120673.67229372,19297606.991123103
Hopper-v5,TQC,57348459.26725487,2441437.936739506
Walker2d-v5,PPO,62614466.880732656,2365814.4039097433
Walker2d-v5,SAC,99474709.88688925,10576468.707082337
Walker2d-v5,TD3,25610722.699699372,15967636.04736368
Walker2d-v5,DDPG,32340377.111830078,8916844.720660742
Walker2d-v5,TQC,85238797.40089846,730555.2660164069
