run_id,environment,algorithm,seed,total_timesteps,eval_freq,n_eval_episodes,device,wall_clock_seconds,sb3_version,torch_version
Hopper-v5__PPO__seed00__steps250000,Hopper-v5,PPO,0,250000,12500,10,cpu,283.85,2.9.0,2.12.1+cu126
Hopper-v5__PPO__seed01__steps250000,Hopper-v5,PPO,1,250000,12500,10,cpu,302.93,2.9.0,2.12.1+cu126
Hopper-v5__PPO__seed02__steps250000,Hopper-v5,PPO,2,250000,12500,10,cpu,314.64,2.9.0,2.12.1+cu126
Hopper-v5__PPO__seed03__steps250000,Hopper-v5,PPO,3,250000,12500,10,cpu,323.61,2.9.0,2.12.1+cu126
Hopper-v5__PPO__seed04__steps250000,Hopper-v5,PPO,4,250000,12500,10,cpu,323.33,2.9.0,2.12.1+cu126
Hopper-v5__SAC__seed00__steps250000,Hopper-v5,SAC,0,250000,12500,10,cpu,273.27,2.9.0,2.12.1+cu126
Hopper-v5__SAC__seed01__steps250000,Hopper-v5,SAC,1,250000,12500,10,cpu,281.74,2.9.0,2.12.1+cu126
Hopper-v5__SAC__seed02__steps250000,Hopper-v5,SAC,2,250000,12500,10,cpu,284.88,2.9.0,2.12.1+cu126
Hopper-v5__SAC__seed03__steps250000,Hopper-v5,SAC,3,250000,12500,10,cpu,291.92,2.9.0,2.12.1+cu126
Hopper-v5__SAC__seed04__steps250000,Hopper-v5,SAC,4,250000,12500,10,cpu,291.74,2.9.0,2.12.1+cu126
Hopper-v5__TD3__seed00__steps250000,Hopper-v5,TD3,0,250000,12500,10,cpu,240.12,2.9.0,2.12.1+cu126
Hopper-v5__TD3__seed01__steps250000,Hopper-v5,TD3,1,250000,12500,10,cpu,248.28,2.9.0,2.12.1+cu126
Hopper-v5__TD3__seed02__steps250000,Hopper-v5,TD3,2,250000,12500,10,cpu,255.1,2.9.0,2.12.1+cu126
Hopper-v5__TD3__seed03__steps250000,Hopper-v5,TD3,3,250000,12500,10,cpu,252.16,2.9.0,2.12.1+cu126
Hopper-v5__TD3__seed04__steps250000,Hopper-v5,TD3,4,250000,12500,10,cpu,255.0,2.9.0,2.12.1+cu126
Hopper-v5__DDPG__seed00__steps250000,Hopper-v5,DDPG,0,250000,12500,10,cpu,256.76,2.9.0,2.12.1+cu126
Hopper-v5__DDPG__seed01__steps250000,Hopper-v5,DDPG,1,250000,12500,10,cpu,259.21,2.9.0,2.12.1+cu126
Hopper-v5__DDPG__seed02__steps250000,Hopper-v5,DDPG,2,250000,12500,10,cpu,249.0,2.9.0,2.12.1+cu126
Hopper-v5__DDPG__seed03__steps250000,Hopper-v5,DDPG,3,250000,12500,10,cpu,258.5,2.9.0,2.12.1+cu126
Hopper-v5__DDPG__seed04__steps250000,Hopper-v5,DDPG,4,250000,12500,10,cpu,256.01,2.9.0,2.12.1+cu126
Hopper-v5__TQC__seed00__steps250000,Hopper-v5,TQC,0,250000,12500,10,cpu,381.6,2.9.0,2.12.1+cu126
Hopper-v5__TQC__seed01__steps250000,Hopper-v5,TQC,1,250000,12500,10,cpu,379.62,2.9.0,2.12.1+cu126
Hopper-v5__TQC__seed02__steps250000,Hopper-v5,TQC,2,250000,12500,10,cpu,374.73,2.9.0,2.12.1+cu126
Hopper-v5__TQC__seed03__steps250000,Hopper-v5,TQC,3,250000,12500,10,cpu,369.38,2.9.0,2.12.1+cu126
Hopper-v5__TQC__seed04__steps250000,Hopper-v5,TQC,4,250000,12500,10,cpu,359.73,2.9.0,2.12.1+cu126
