run_id,environment,algorithm,seed,total_timesteps,eval_freq,n_eval_episodes,device,wall_clock_seconds,sb3_version,torch_version
Walker2d-v5__PPO__seed00__steps250000,Walker2d-v5,PPO,0,250000,12500,10,cpu,331.39,2.9.0,2.12.1+cu126
Walker2d-v5__PPO__seed01__steps250000,Walker2d-v5,PPO,1,250000,12500,10,cpu,331.04,2.9.0,2.12.1+cu126
Walker2d-v5__PPO__seed02__steps250000,Walker2d-v5,PPO,2,250000,12500,10,cpu,336.43,2.9.0,2.12.1+cu126
Walker2d-v5__PPO__seed03__steps250000,Walker2d-v5,PPO,3,250000,12500,10,cpu,351.75,2.9.0,2.12.1+cu126
Walker2d-v5__PPO__seed04__steps250000,Walker2d-v5,PPO,4,250000,12500,10,cpu,353.17,2.9.0,2.12.1+cu126
Walker2d-v5__SAC__seed00__steps250000,Walker2d-v5,SAC,0,250000,12500,10,cpu,318.88,2.9.0,2.12.1+cu126
Walker2d-v5__SAC__seed01__steps250000,Walker2d-v5,SAC,1,250000,12500,10,cpu,330.72,2.9.0,2.12.1+cu126
Walker2d-v5__SAC__seed02__steps250000,Walker2d-v5,SAC,2,250000,12500,10,cpu,332.68,2.9.0,2.12.1+cu126
Walker2d-v5__SAC__seed03__steps250000,Walker2d-v5,SAC,3,250000,12500,10,cpu,339.29,2.9.0,2.12.1+cu126
Walker2d-v5__SAC__seed04__steps250000,Walker2d-v5,SAC,4,250000,12500,10,cpu,358.35,2.9.0,2.12.1+cu126
Walker2d-v5__TD3__seed00__steps250000,Walker2d-v5,TD3,0,250000,12500,10,cpu,284.0,2.9.0,2.12.1+cu126
Walker2d-v5__TD3__seed01__steps250000,Walker2d-v5,TD3,1,250000,12500,10,cpu,277.49,2.9.0,2.12.1+cu126
Walker2d-v5__TD3__seed02__steps250000,Walker2d-v5,TD3,2,250000,12500,10,cpu,269.71,2.9.0,2.12.1+cu126
Walker2d-v5__TD3__seed03__steps250000,Walker2d-v5,TD3,3,250000,12500,10,cpu,285.58,2.9.0,2.12.1+cu126
Walker2d-v5__TD3__seed04__steps250000,Walker2d-v5,TD3,4,250000,12500,10,cpu,289.3,2.9.0,2.12.1+cu126
Walker2d-v5__DDPG__seed00__steps250000,Walker2d-v5,DDPG,0,250000,12500,10,cpu,262.18,2.9.0,2.12.1+cu126
Walker2d-v5__DDPG__seed01__steps250000,Walker2d-v5,DDPG,1,250000,12500,10,cpu,253.03,2.9.0,2.12.1+cu126
Walker2d-v5__DDPG__seed02__steps250000,Walker2d-v5,DDPG,2,250000,12500,10,cpu,250.42,2.9.0,2.12.1+cu126
Walker2d-v5__DDPG__seed03__steps250000,Walker2d-v5,DDPG,3,250000,12500,10,cpu,258.07,2.9.0,2.12.1+cu126
Walker2d-v5__DDPG__seed04__steps250000,Walker2d-v5,DDPG,4,250000,12500,10,cpu,265.38,2.9.0,2.12.1+cu126
Walker2d-v5__TQC__seed00__steps250000,Walker2d-v5,TQC,0,250000,12500,10,cpu,380.87,2.9.0,2.12.1+cu126
Walker2d-v5__TQC__seed01__steps250000,Walker2d-v5,TQC,1,250000,12500,10,cpu,334.71,2.9.0,2.12.1+cu126
Walker2d-v5__TQC__seed02__steps250000,Walker2d-v5,TQC,2,250000,12500,10,cpu,311.77,2.9.0,2.12.1+cu126
Walker2d-v5__TQC__seed03__steps250000,Walker2d-v5,TQC,3,250000,12500,10,cpu,307.22,2.9.0,2.12.1+cu126
Walker2d-v5__TQC__seed04__steps250000,Walker2d-v5,TQC,4,250000,12500,10,cpu,312.43,2.9.0,2.12.1+cu126
