run_id,track,env_id,algorithm,setting_name,seed,total_timesteps,eval_freq,n_eval_episodes_train,n_eval_episodes_final,policy,use_vecnormalize,normalize_obs,normalize_reward,hyperparams_json,status,start_time,end_time,wall_clock_seconds,device,python_version,gymnasium_version,mujoco_version,stable_baselines3_version,sb3_contrib_version,torch_version,cuda_available,gpu_name,git_commit,model_path,tensorboard_path,train_eval_csv_path,final_eval_csv_path,notes
HalfCheetah-v5__DDPG__default_1m__sb3default__seed0__steps1000000,default_1m,HalfCheetah-v5,DDPG,sb3default,0,1000000,,,,,,,,,complete,,,,,,,,,,,,,,D:\MuJoCo_RL_Project\models\default_1m\HalfCheetah-v5__DDPG__default_1m__sb3default__seed0__steps1000000.zip,,,,reconciled
HalfCheetah-v5__DDPG__default_1m__sb3default__seed1__steps1000000,default_1m,HalfCheetah-v5,DDPG,sb3default,1,1000000,,,,,,,,,complete,,,,,,,,,,,,,,D:\MuJoCo_RL_Project\models\default_1m\HalfCheetah-v5__DDPG__default_1m__sb3default__seed1__steps1000000.zip,,,,reconciled
HalfCheetah-v5__DDPG__default_1m__sb3default__seed2__steps1000000,default_1m,HalfCheetah-v5,DDPG,sb3default,2,1000000,,,,,,,,,complete,,,,,,,,,,,,,,D:\MuJoCo_RL_Project\models\default_1m\HalfCheetah-v5__DDPG__default_1m__sb3default__seed2__steps1000000.zip,,,,reconciled
Hopper-v5__DDPG__default_1m__sb3default__seed0__steps1000000,default_1m,Hopper-v5,DDPG,sb3default,0,1000000,,,,,,,,,complete,,,,,,,,,,,,,,D:\MuJoCo_RL_Project\models\default_1m\Hopper-v5__DDPG__default_1m__sb3default__seed0__steps1000000.zip,,,,reconciled
Hopper-v5__DDPG__default_1m__sb3default__seed1__steps1000000,default_1m,Hopper-v5,DDPG,sb3default,1,1000000,,,,,,,,,complete,,,,,,,,,,,,,,D:\MuJoCo_RL_Project\models\default_1m\Hopper-v5__DDPG__default_1m__sb3default__seed1__steps1000000.zip,,,,reconciled
Walker2d-v5__TD3__tuned_screen__sigma005__seed0__steps300000,tuned_screen,Walker2d-v5,TD3,sigma005,0,300000,,,,,,,,,complete,,,,,,,,,,,,,,D:\MuJoCo_RL_Project\models\tuned_screen\Walker2d-v5__TD3__tuned_screen__sigma005__seed0__steps300000.zip,,,,reconciled
Walker2d-v5__TD3__tuned_screen__sigma005__seed1__steps300000,tuned_screen,Walker2d-v5,TD3,sigma005,1,300000,,,,,,,,,complete,,,,,,,,,,,,,,D:\MuJoCo_RL_Project\models\tuned_screen\Walker2d-v5__TD3__tuned_screen__sigma005__seed1__steps300000.zip,,,,reconciled
HalfCheetah-v5__TD3__tuned_screen__sigma010__seed0__steps300000,tuned_screen,HalfCheetah-v5,TD3,sigma010,0,300000,,,,,,,,,complete,,,,,,,,,,,,,,D:\MuJoCo_RL_Project\models\tuned_screen\HalfCheetah-v5__TD3__tuned_screen__sigma010__seed0__steps300000.zip,,,,reconciled
HalfCheetah-v5__TD3__tuned_screen__sigma010__seed1__steps300000,tuned_screen,HalfCheetah-v5,TD3,sigma010,1,300000,,,,,,,,,complete,,,,,,,,,,,,,,D:\MuJoCo_RL_Project\models\tuned_screen\HalfCheetah-v5__TD3__tuned_screen__sigma010__seed1__steps300000.zip,,,,reconciled
Hopper-v5__TD3__tuned_screen__sigma010__seed0__steps300000,tuned_screen,Hopper-v5,TD3,sigma010,0,300000,,,,,,,,,complete,,,,,,,,,,,,,,D:\MuJoCo_RL_Project\models\tuned_screen\Hopper-v5__TD3__tuned_screen__sigma010__seed0__steps300000.zip,,,,reconciled
