track,env_id,algorithm,n_seeds,mean_return,mean_ci95_low,mean_ci95_high,median_return,median_ci95_low,median_ci95_high,iqm_return,iqm_ci95_low,iqm_ci95_high,std_return,min_return,max_return,cv
default_1m,HalfCheetah-v5,PPO,3,1620.1470540364583,1519.8612060546875,1679.0367431640625,1661.543212890625,1519.8612060546875,1679.0367431640625,1620.1470540364583,1519.8612060546875,1679.0367431640625,71.27152016256356,1519.8612060546875,1679.0367431640625,0.0439907723098324
default_1m,HalfCheetah-v5,SAC,5,8852.28525390625,7056.76552734375,10801.9958984375,7846.82177734375,6737.37109375,12166.373046875,8452.560709635416,6834.875390625,11757.2119140625,2134.57385053302,6737.37109375,12166.373046875,0.241132519943491
default_1m,HalfCheetah-v5,TD3,3,10479.5341796875,9757.287109375,10870.306640625,10811.0087890625,9757.287109375,10870.306640625,10479.5341796875,9757.287109375,10870.306640625,511.27923338180153,9757.287109375,10870.306640625,0.04878835496074005
default_1m,HalfCheetah-v5,DDPG,3,7424.106770833333,6093.0244140625,8105.21484375,8074.0810546875,6093.0244140625,8105.21484375,7424.106770833333,6093.0244140625,8105.21484375,941.3031777223512,6093.0244140625,8105.21484375,0.12679009162696792
default_1m,HalfCheetah-v5,TQC,3,10399.716471354166,9559.869140625,11964.1884765625,9675.091796875,9559.869140625,11964.1884765625,10399.716471354166,9559.869140625,11964.1884765625,1107.248408274242,9559.869140625,11964.1884765625,0.10646909570315094
default_1m,Hopper-v5,PPO,3,1670.5489095052083,1017.86083984375,2182.20654296875,1811.579345703125,1017.86083984375,2182.20654296875,1670.5489095052083,1017.86083984375,2182.20654296875,485.6901735654419,1017.86083984375,2182.20654296875,0.2907368774430532
default_1m,Hopper-v5,SAC,5,2144.5438720703123,1449.320263671875,2839.76748046875,2171.44091796875,1216.3299560546875,3404.83935546875,2033.8500162760417,1258.2980712890626,3099.2236083983976,817.808053403148,1216.3299560546875,3404.83935546875,0.3813435873492519
default_1m,Hopper-v5,TD3,3,3626.0941569010415,3605.766357421875,3648.53955078125,3623.9765625,3605.766357421875,3648.53955078125,3626.0941569010415,3605.766357421875,3648.53955078125,17.52616467028868,3605.766357421875,3648.53955078125,0.004833345167536139
default_1m,Hopper-v5,DDPG,3,2212.720906575521,1074.6998291015625,3204.02587890625,2359.43701171875,1074.6998291015625,3204.02587890625,2212.720906575521,1074.6998291015625,3204.02587890625,875.4623800124167,1074.6998291015625,3204.02587890625,0.395649707747061
default_1m,Hopper-v5,TQC,3,3196.233642578125,3138.669677734375,3303.17578125,3146.85546875,3138.669677734375,3303.17578125,3196.233642578125,3138.669677734375,3303.17578125,75.69331789717319,3138.669677734375,3303.17578125,0.023682035283289847
default_1m,Walker2d-v5,PPO,3,2119.4935709635415,1267.726318359375,3763.788330078125,1326.966064453125,1267.726318359375,3763.788330078125,2119.4935709635415,1267.726318359375,3763.788330078125,1162.9434718328823,1267.726318359375,3763.788330078125,0.5486893132231571
default_1m,Walker2d-v5,SAC,5,3712.5354248046874,2761.9922119140624,4300.5884765625,4028.3828125,1842.4007568359373,4482.90380859375,4079.1241861979165,2388.896270751953,4391.49267578125,953.1866348107359,1842.4007568359373,4482.90380859375,0.25674815880332835
default_1m,Walker2d-v5,TD3,3,4367.467203776042,3774.16455078125,5286.61865234375,4041.618408203125,3774.16455078125,5286.61865234375,4367.467203776042,3774.16455078125,5286.61865234375,659.0459925860246,3774.16455078125,5286.61865234375,0.15089889902692893
default_1m,Walker2d-v5,DDPG,3,1485.4355875651042,1281.298583984375,1860.3489990234373,1314.6591796875,1281.298583984375,1860.3489990234373,1485.4355875651042,1281.298583984375,1860.3489990234373,265.4534258018544,1281.298583984375,1860.3489990234373,0.17870409731934606
default_1m,Walker2d-v5,TQC,3,4521.084798177083,3910.27587890625,4866.5107421875,4786.4677734375,3910.27587890625,4866.5107421875,4521.084798177083,3910.27587890625,4866.5107421875,433.1415250678704,3910.27587890625,4866.5107421875,0.09580477792465086
