track,env_id,metric,algorithm_a,algorithm_b,cliffs_delta,effect_size_label,probability_of_improvement
default_1m,HalfCheetah-v5,mean_return,PPO,SAC,-1.0,large,0.0
default_1m,HalfCheetah-v5,mean_return,PPO,TD3,-1.0,large,0.0
default_1m,HalfCheetah-v5,mean_return,PPO,DDPG,-1.0,large,0.0
default_1m,HalfCheetah-v5,mean_return,PPO,TQC,-1.0,large,0.0
default_1m,HalfCheetah-v5,mean_return,SAC,TD3,-0.4666666666666667,medium,0.26666666666666666
default_1m,HalfCheetah-v5,mean_return,SAC,DDPG,0.2,small,0.6
default_1m,HalfCheetah-v5,mean_return,SAC,TQC,-0.3333333333333333,medium,0.3333333333333333
default_1m,HalfCheetah-v5,mean_return,TD3,DDPG,1.0,large,1.0
default_1m,HalfCheetah-v5,mean_return,TD3,TQC,0.3333333333333333,medium,0.6666666666666666
default_1m,HalfCheetah-v5,mean_return,DDPG,TQC,-1.0,large,0.0
default_1m,Hopper-v5,mean_return,PPO,SAC,-0.3333333333333333,medium,0.3333333333333333
default_1m,Hopper-v5,mean_return,PPO,TD3,-1.0,large,0.0
default_1m,Hopper-v5,mean_return,PPO,DDPG,-0.5555555555555556,large,0.2222222222222222
default_1m,Hopper-v5,mean_return,PPO,TQC,-1.0,large,0.0
default_1m,Hopper-v5,mean_return,SAC,TD3,-1.0,large,0.0
default_1m,Hopper-v5,mean_return,SAC,DDPG,0.06666666666666667,negligible,0.5333333333333333
default_1m,Hopper-v5,mean_return,SAC,TQC,-0.6,large,0.2
default_1m,Hopper-v5,mean_return,TD3,DDPG,1.0,large,1.0
default_1m,Hopper-v5,mean_return,TD3,TQC,1.0,large,1.0
default_1m,Hopper-v5,mean_return,DDPG,TQC,-0.5555555555555556,large,0.2222222222222222
default_1m,Walker2d-v5,mean_return,PPO,SAC,-0.8666666666666667,large,0.06666666666666667
default_1m,Walker2d-v5,mean_return,PPO,TD3,-1.0,large,0.0
default_1m,Walker2d-v5,mean_return,PPO,DDPG,0.1111111111111111,negligible,0.5555555555555556
default_1m,Walker2d-v5,mean_return,PPO,TQC,-1.0,large,0.0
default_1m,Walker2d-v5,mean_return,SAC,TD3,-0.2,small,0.4
default_1m,Walker2d-v5,mean_return,SAC,DDPG,0.8666666666666667,large,0.9333333333333333
default_1m,Walker2d-v5,mean_return,SAC,TQC,-0.4666666666666667,medium,0.26666666666666666
default_1m,Walker2d-v5,mean_return,TD3,DDPG,1.0,large,1.0
default_1m,Walker2d-v5,mean_return,TD3,TQC,-0.1111111111111111,negligible,0.4444444444444444
default_1m,Walker2d-v5,mean_return,DDPG,TQC,-1.0,large,0.0
