environment,algorithm,return_clean,return_noisy_020,drop_pct
HalfCheetah-v5,PPO,1508.5302264127604,1187.8125142711588,21.26027748891268
HalfCheetah-v5,SAC,9675.677495214844,7184.581106014174,25.745963426644593
HalfCheetah-v5,TD3,10407.240606380208,8771.944542734376,15.713060987960004
HalfCheetah-v5,DDPG,8387.460170371092,7001.763431578775,16.52105298437866
HalfCheetah-v5,TQC,11415.615216178385,8070.638896699219,29.3017612816494
Hopper-v5,PPO,2043.4925149902344,1135.0681422923178,44.4544996387135
Hopper-v5,SAC,2634.467248098145,1210.6748786381836,54.044792945610176
Hopper-v5,TD3,3641.136716041666,2285.347433258097,37.23533029690091
Hopper-v5,DDPG,2375.898542042135,1948.3099872851967,17.9969197837723
Hopper-v5,TQC,2882.4105865800784,1001.4297268326823,65.25721451684703
Walker2d-v5,PPO,1727.3602958333336,991.1568875000002,42.62014184909255
Walker2d-v5,SAC,3984.4635247625,3652.8533281862497,8.322580807040625
Walker2d-v5,TD3,4448.019228333334,4118.4167216666665,7.410096264116818
Walker2d-v5,DDPG,1560.0192202166668,1871.31294525,-19.9544801113478
Walker2d-v5,TQC,4938.57027,4375.632943333333,11.398791469773442
