env_id,algorithm,return_at_100k,return_at_250k,return_at_500k,return_at_1000k
HalfCheetah-v5,PPO,416.08775081428564,1198.9667950333333,1314.4992749,1459.0085886766667
HalfCheetah-v5,SAC,4663.693779477778,6958.9038068970585,8524.25621376,9691.24391718
HalfCheetah-v5,TD3,4890.956793599999,6826.702098662963,9233.630555813794,10318.848426120001
HalfCheetah-v5,DDPG,4008.285890133333,5381.985570522223,7139.330197355557,8127.5196999166665
HalfCheetah-v5,TQC,4629.671536044445,7428.741608722223,9246.412462065517,11113.239769629998
Hopper-v5,PPO,1200.19042285,2036.3580770750002,2001.2854862099998,2254.16649061
Hopper-v5,SAC,579.6186148700001,1884.1840424277777,2286.4457633925,2651.6701876275
Hopper-v5,TD3,1814.4832646000002,2793.3020790733335,3536.936977586667,3433.6406261399998
Hopper-v5,DDPG,388.6073189166666,1281.0491155000002,1402.8412011793107,1653.8686970733336
Hopper-v5,TQC,1060.9782297200002,2864.1669624933334,3012.6184711866667,2662.1966468299997
Walker2d-v5,PPO,470.98104008750005,867.1561358875,1143.95645804,1717.8447872466668
Walker2d-v5,SAC,608.1132494444445,1894.3464146444446,3265.7359569375003,4212.59601852
Walker2d-v5,TD3,612.4443484899999,2104.5956512,3585.7763141699998,4464.401747136666
Walker2d-v5,DDPG,221.27972433333332,500.1954110310345,1003.1615211206895,2005.30713321
Walker2d-v5,TQC,918.778432875,2763.3337793923074,3932.3566640083336,4446.298504758621
