env_id,algorithm,threshold,tag,first_step
HalfCheetah-v5,PPO,500,eval/mean_reward,125000
HalfCheetah-v5,PPO,1000,eval/mean_reward,175000
HalfCheetah-v5,SAC,500,eval/mean_reward,50000
HalfCheetah-v5,SAC,1000,eval/mean_reward,50000
HalfCheetah-v5,SAC,3000,eval/mean_reward,75000
HalfCheetah-v5,SAC,5000,eval/mean_reward,125000
HalfCheetah-v5,TD3,500,eval/mean_reward,25000
HalfCheetah-v5,TD3,1000,eval/mean_reward,25000
HalfCheetah-v5,TD3,3000,eval/mean_reward,50000
HalfCheetah-v5,TD3,5000,eval/mean_reward,125000
HalfCheetah-v5,DDPG,500,eval/mean_reward,50000
HalfCheetah-v5,DDPG,1000,eval/mean_reward,50000
HalfCheetah-v5,DDPG,3000,eval/mean_reward,100000
HalfCheetah-v5,DDPG,5000,eval/mean_reward,150001
HalfCheetah-v5,TQC,500,eval/mean_reward,25000
HalfCheetah-v5,TQC,1000,eval/mean_reward,50000
HalfCheetah-v5,TQC,3000,eval/mean_reward,75000
HalfCheetah-v5,TQC,5000,eval/mean_reward,150000
Hopper-v5,PPO,200,eval/mean_reward,25000
Hopper-v5,PPO,500,eval/mean_reward,75000
Hopper-v5,PPO,1500,eval/mean_reward,225000
Hopper-v5,PPO,2500,eval/mean_reward,575000
Hopper-v5,SAC,200,eval/mean_reward,50000
Hopper-v5,SAC,500,eval/mean_reward,100000
Hopper-v5,SAC,1500,eval/mean_reward,225000
Hopper-v5,SAC,2500,eval/mean_reward,500000
Hopper-v5,TD3,200,eval/mean_reward,20000
Hopper-v5,TD3,500,eval/mean_reward,75000
Hopper-v5,TD3,1500,eval/mean_reward,100000
Hopper-v5,TD3,2500,eval/mean_reward,200000
Hopper-v5,DDPG,200,eval/mean_reward,25000
Hopper-v5,DDPG,500,eval/mean_reward,150000
Hopper-v5,DDPG,1500,eval/mean_reward,225002
Hopper-v5,DDPG,2500,eval/mean_reward,625002
Hopper-v5,TQC,200,eval/mean_reward,25000
Hopper-v5,TQC,500,eval/mean_reward,50000
Hopper-v5,TQC,1500,eval/mean_reward,125000
Hopper-v5,TQC,2500,eval/mean_reward,150000
Walker2d-v5,PPO,200,eval/mean_reward,25000
Walker2d-v5,PPO,500,eval/mean_reward,125000
Walker2d-v5,PPO,1500,eval/mean_reward,625000
Walker2d-v5,SAC,200,eval/mean_reward,25000
Walker2d-v5,SAC,500,eval/mean_reward,75000
Walker2d-v5,SAC,1500,eval/mean_reward,200000
Walker2d-v5,SAC,2500,eval/mean_reward,325000
Walker2d-v5,TD3,200,eval/mean_reward,25000
Walker2d-v5,TD3,500,eval/mean_reward,100000
Walker2d-v5,TD3,1500,eval/mean_reward,200000
Walker2d-v5,TD3,2500,eval/mean_reward,300000
Walker2d-v5,DDPG,200,eval/mean_reward,125001
Walker2d-v5,DDPG,500,eval/mean_reward,225001
Walker2d-v5,DDPG,1500,eval/mean_reward,375001
Walker2d-v5,DDPG,2500,eval/mean_reward,375001
Walker2d-v5,TQC,200,eval/mean_reward,25000
Walker2d-v5,TQC,500,eval/mean_reward,50000
Walker2d-v5,TQC,1500,eval/mean_reward,175000
Walker2d-v5,TQC,2500,eval/mean_reward,175001
