track,env_id,algorithm,n_seeds,mean_return,mean_ci95_low,mean_ci95_high,median_return,median_ci95_low,median_ci95_high,iqm_return,iqm_ci95_low,iqm_ci95_high,std_return,min_return,max_return,cv
tuned_1m,HalfCheetah-v5,PPO,3,1367.0462239583333,1020.2857666015624,1625.3785400390625,1455.474365234375,1020.2857666015624,1625.3785400390625,1367.0462239583333,1020.2857666015624,1625.3785400390625,254.81884839198108,1020.2857666015624,1625.3785400390625,0.1864010476940155
tuned_1m,HalfCheetah-v5,SAC,3,11021.715494791666,10778.0302734375,11225.2685546875,11061.84765625,10778.0302734375,11225.2685546875,11021.715494791666,10778.0302734375,11225.2685546875,184.77637446627537,10778.0302734375,11225.2685546875,0.016764756317071677
tuned_1m,HalfCheetah-v5,TD3,3,10391.185546875,9757.287109375,10811.0087890625,10605.2607421875,9757.287109375,10811.0087890625,10391.185546875,9757.287109375,10811.0087890625,456.0361729051219,9757.287109375,10811.0087890625,0.04388682800898192
tuned_1m,HalfCheetah-v5,DDPG,3,9011.619791666666,8430.8349609375,9686.275390625,8917.7490234375,8430.8349609375,9686.275390625,9011.619791666666,8430.8349609375,9686.275390625,516.8116736100518,8430.8349609375,9686.275390625,0.05734947607176727
tuned_1m,HalfCheetah-v5,TQC,3,12175.689127604166,12150.146484375,12220.1845703125,12156.736328125,12150.146484375,12220.1845703125,12175.689127604166,12150.146484375,12220.1845703125,31.577838500233927,12150.146484375,12220.1845703125,0.0025935155020213266
tuned_1m,Hopper-v5,PPO,3,2279.5673014322915,1546.96923828125,2691.944091796875,2599.78857421875,1546.96923828125,2691.944091796875,2279.5673014322915,1546.96923828125,2691.944091796875,519.3894501909695,1546.96923828125,2691.944091796875,0.2278456309952455
tuned_1m,Hopper-v5,SAC,3,3385.413330078125,3245.49462890625,3488.35009765625,3422.395263671875,3245.49462890625,3488.35009765625,3385.413330078125,3245.49462890625,3488.35009765625,102.53598469056269,3245.49462890625,3488.35009765625,0.030287582251646794
tuned_1m,Hopper-v5,TD3,3,3626.0941569010415,3605.766357421875,3648.53955078125,3623.9765625,3605.766357421875,3648.53955078125,3626.0941569010415,3605.766357421875,3648.53955078125,17.52616467028868,3605.766357421875,3648.53955078125,0.004833345167536139
tuned_1m,Hopper-v5,DDPG,3,2610.94091796875,2576.05224609375,2659.69873046875,2597.07177734375,2576.05224609375,2659.69873046875,2610.94091796875,2576.05224609375,2659.69873046875,35.52884633957126,2576.05224609375,2659.69873046875,0.013607679168478411
tuned_1m,Hopper-v5,TQC,3,2599.7450358072915,1958.010498046875,3544.41845703125,2296.80615234375,1958.010498046875,3544.41845703125,2599.7450358072915,1958.010498046875,3544.41845703125,682.1541997807853,1958.010498046875,3544.41845703125,0.2623927309736964
tuned_1m,Walker2d-v5,PPO,3,1339.8123575846355,804.4480590820312,2006.3177490234373,1208.6712646484375,804.4480590820312,2006.3177490234373,1339.8123575846355,804.4480590820312,2006.3177490234373,499.347025352335,804.4480590820312,2006.3177490234373,0.37269922353346513
tuned_1m,Walker2d-v5,SAC,3,4473.018880208333,4270.5126953125,4591.642578125,4556.9013671875,4270.5126953125,4591.642578125,4473.018880208333,4270.5126953125,4591.642578125,143.8941836330898,4270.5126953125,4591.642578125,0.03216936648082913
tuned_1m,Walker2d-v5,TD3,3,4544.0,4113.4755859375,4819.505859375,4699.0185546875,4113.4755859375,4819.505859375,4544.0,4113.4755859375,4819.505859375,308.3750432785905,4113.4755859375,4819.505859375,0.06786422607363347
tuned_1m,Walker2d-v5,DDPG,3,1928.1692301432292,1211.465087890625,2771.13671875,1801.9058837890625,1211.465087890625,2771.13671875,1928.1692301432292,1211.465087890625,2771.13671875,642.9622713147326,1211.465087890625,2771.13671875,0.3334573860339902
tuned_1m,Walker2d-v5,TQC,3,5297.082682291667,4892.42431640625,5551.0654296875,5447.75830078125,4892.42431640625,5551.0654296875,5297.082682291667,4892.42431640625,5551.0654296875,289.2281516167988,4892.42431640625,5551.0654296875,0.05460140401124918
