env_id,algorithm,seed,total_timesteps,fall_rate,mean_ep_length
Walker2d-v5,PPO,2,100000,1.0,135.95
Walker2d-v5,PPO,2,500000,1.0,350.95
Walker2d-v5,PPO,2,1000000,0.0,1000.0
Walker2d-v5,PPO,1,100000,1.0,135.55
Walker2d-v5,PPO,1,500000,1.0,219.35
Walker2d-v5,PPO,1,1000000,0.95,451.9
Walker2d-v5,PPO,0,100000,1.0,142.65
Walker2d-v5,PPO,0,500000,0.95,427.5
Walker2d-v5,PPO,0,1000000,1.0,376.25
Walker2d-v5,TQC,2,100000,0.45,789.8
Walker2d-v5,TQC,2,500000,0.0,1000.0
Walker2d-v5,TQC,2,1000000,0.0,1000.0
Walker2d-v5,DDPG,0,100000,1.0,140.5
Walker2d-v5,DDPG,0,500000,0.75,568.4
Walker2d-v5,DDPG,0,1000000,0.75,337.1
Walker2d-v5,DDPG,1,100000,1.0,122.35
Walker2d-v5,DDPG,1,500000,0.25,773.9
Walker2d-v5,DDPG,1,1000000,1.0,356.1
Walker2d-v5,DDPG,2,100000,1.0,96.75
Walker2d-v5,DDPG,2,500000,0.95,543.45
Walker2d-v5,DDPG,2,1000000,0.9,507.0
Walker2d-v5,PPO,1,100000,1.0,156.5
Walker2d-v5,PPO,1,500000,1.0,295.3
Walker2d-v5,PPO,1,1000000,1.0,348.85
Walker2d-v5,PPO,0,100000,1.0,145.3
Walker2d-v5,PPO,0,500000,1.0,329.15
Walker2d-v5,PPO,0,1000000,1.0,230.5
Walker2d-v5,DDPG,0,100000,1.0,235.75
Walker2d-v5,DDPG,0,500000,1.0,329.1
Walker2d-v5,DDPG,0,1000000,0.75,501.45
Walker2d-v5,DDPG,1,100000,1.0,74.3
Walker2d-v5,DDPG,1,500000,0.65,625.85
Walker2d-v5,DDPG,1,1000000,0.7,634.45
Walker2d-v5,PPO,2,100000,1.0,197.3
Walker2d-v5,PPO,2,500000,1.0,396.9
Walker2d-v5,PPO,2,1000000,1.0,471.35
Walker2d-v5,TD3,0,100000,1.0,205.4
Walker2d-v5,TD3,0,500000,0.0,1000.0
Walker2d-v5,TD3,0,1000000,0.0,1000.0
Walker2d-v5,TD3,1,100000,1.0,273.5
Walker2d-v5,TD3,1,500000,0.65,664.65
Walker2d-v5,TD3,1,1000000,0.55,889.65
Walker2d-v5,TD3,2,100000,1.0,169.8
Walker2d-v5,TD3,2,500000,0.25,960.1
Walker2d-v5,TD3,2,1000000,0.05,975.9
Walker2d-v5,DDPG,2,100000,1.0,232.8
Walker2d-v5,DDPG,2,500000,1.0,408.9
Walker2d-v5,DDPG,2,1000000,1.0,287.25
Walker2d-v5,TQC,1,100000,1.0,259.95
Walker2d-v5,TQC,1,500000,0.25,890.1
Walker2d-v5,TQC,1,1000000,0.05,963.4
Walker2d-v5,TQC,0,100000,1.0,209.2
Walker2d-v5,TQC,0,500000,0.2,868.2
Walker2d-v5,TQC,0,1000000,0.0,1000.0
Walker2d-v5,SAC,2,100000,1.0,242.6
Walker2d-v5,SAC,2,500000,0.35,893.3
Walker2d-v5,SAC,2,1000000,0.1,966.55
Walker2d-v5,SAC,1,100000,1.0,255.2
Walker2d-v5,SAC,1,500000,0.2,923.0
Walker2d-v5,SAC,1,1000000,0.5,556.1
Walker2d-v5,SAC,0,100000,1.0,338.35
Walker2d-v5,SAC,0,500000,0.1,956.7
Walker2d-v5,SAC,0,1000000,0.05,958.5
Walker2d-v5,SAC,1,100000,1.0,192.6
Walker2d-v5,SAC,1,500000,0.05,956.1
Walker2d-v5,SAC,1,1000000,0.0,1000.0
Walker2d-v5,SAC,2,100000,0.45,816.45
Walker2d-v5,SAC,2,500000,0.1,990.5
Walker2d-v5,SAC,2,1000000,0.0,1000.0
Walker2d-v5,TQC,1,100000,1.0,142.15
Walker2d-v5,TQC,1,500000,0.15,881.75
Walker2d-v5,TQC,1,1000000,0.0,1000.0
Walker2d-v5,TQC,2,100000,1.0,87.25
Walker2d-v5,TQC,2,500000,0.0,1000.0
Walker2d-v5,TQC,2,1000000,0.0,1000.0
Walker2d-v5,TQC,0,100000,1.0,436.6
Walker2d-v5,TQC,0,500000,0.2,935.05
Walker2d-v5,TQC,0,1000000,0.0,1000.0
Walker2d-v5,SAC,0,100000,1.0,215.8
Walker2d-v5,SAC,0,500000,0.15,936.95
Walker2d-v5,SAC,0,1000000,0.0,1000.0
Walker2d-v5,SAC,4,100000,1.0,394.25
Walker2d-v5,SAC,4,500000,0.0,1000.0
Walker2d-v5,SAC,4,1000000,0.0,1000.0
Walker2d-v5,SAC,3,100000,1.0,379.7
Walker2d-v5,SAC,3,500000,0.05,985.3
Walker2d-v5,SAC,3,1000000,0.1,948.25
Walker2d-v5,TD3,0,100000,1.0,195.6
Walker2d-v5,TD3,0,500000,0.1,957.85
Walker2d-v5,TD3,0,1000000,0.0,1000.0
Walker2d-v5,TD3,1,100000,1.0,183.9
Walker2d-v5,TD3,1,500000,0.0,1000.0
Walker2d-v5,TD3,1,1000000,0.0,1000.0
Walker2d-v5,TD3,2,100000,1.0,237.45
Walker2d-v5,TD3,2,500000,0.05,963.95
Walker2d-v5,TD3,2,1000000,0.0,1000.0
