run_id,environment,algorithm,seed,total_timesteps,eval_freq,n_eval_episodes,device,wall_clock_seconds,sb3_version,torch_version
HalfCheetah-v5__PPO__seed00__steps1000000,HalfCheetah-v5,PPO,0,1000000,25000,10,cuda,1604.36,2.9.0,2.12.1+cu126
HalfCheetah-v5__PPO__seed01__steps1000000,HalfCheetah-v5,PPO,1,1000000,25000,10,cuda,1496.58,2.9.0,2.12.1+cu126
HalfCheetah-v5__PPO__seed02__steps1000000,HalfCheetah-v5,PPO,2,1000000,25000,10,cuda,1469.07,2.9.0,2.12.1+cu126
HalfCheetah-v5__PPO__seed03__steps1000000,HalfCheetah-v5,PPO,3,1000000,25000,10,cuda,1459.39,2.9.0,2.12.1+cu126
HalfCheetah-v5__PPO__seed04__steps1000000,HalfCheetah-v5,PPO,4,1000000,25000,10,cuda,1463.99,2.9.0,2.12.1+cu126
HalfCheetah-v5__PPO__seed05__steps1000000,HalfCheetah-v5,PPO,5,1000000,25000,10,cuda,1587.45,2.9.0,2.12.1+cu126
HalfCheetah-v5__PPO__seed06__steps1000000,HalfCheetah-v5,PPO,6,1000000,25000,10,cuda,1603.95,2.9.0,2.12.1+cu126
HalfCheetah-v5__PPO__seed07__steps1000000,HalfCheetah-v5,PPO,7,1000000,25000,10,cuda,1426.71,2.9.0,2.12.1+cu126
HalfCheetah-v5__PPO__seed08__steps1000000,HalfCheetah-v5,PPO,8,1000000,25000,10,cuda,1415.82,2.9.0,2.12.1+cu126
HalfCheetah-v5__PPO__seed09__steps1000000,HalfCheetah-v5,PPO,9,1000000,25000,10,cuda,1387.13,2.9.0,2.12.1+cu126
HalfCheetah-v5__SAC__seed00__steps1000000,HalfCheetah-v5,SAC,0,1000000,25000,10,cuda,595.77,2.9.0,2.12.1+cu126
HalfCheetah-v5__SAC__seed01__steps1000000,HalfCheetah-v5,SAC,1,1000000,25000,10,cuda,590.67,2.9.0,2.12.1+cu126
HalfCheetah-v5__SAC__seed02__steps1000000,HalfCheetah-v5,SAC,2,1000000,25000,10,cuda,599.32,2.9.0,2.12.1+cu126
HalfCheetah-v5__SAC__seed03__steps1000000,HalfCheetah-v5,SAC,3,1000000,25000,10,cuda,600.55,2.9.0,2.12.1+cu126
HalfCheetah-v5__SAC__seed04__steps1000000,HalfCheetah-v5,SAC,4,1000000,25000,10,cuda,599.56,2.9.0,2.12.1+cu126
HalfCheetah-v5__SAC__seed05__steps1000000,HalfCheetah-v5,SAC,5,1000000,25000,10,cuda,613.45,2.9.0,2.12.1+cu126
HalfCheetah-v5__SAC__seed06__steps1000000,HalfCheetah-v5,SAC,6,1000000,25000,10,cuda,606.93,2.9.0,2.12.1+cu126
