run_id,environment,algorithm,seed,total_timesteps,eval_freq,n_eval_episodes,device,wall_clock_seconds,sb3_version,torch_version
Hopper-v5__PPO__seed00__steps1000000,Hopper-v5,PPO,0,1000000,25000,10,cuda,1331.79,2.9.0,2.12.1+cu126
Hopper-v5__PPO__seed01__steps1000000,Hopper-v5,PPO,1,1000000,25000,10,cuda,1194.06,2.9.0,2.12.1+cu126
Hopper-v5__PPO__seed02__steps1000000,Hopper-v5,PPO,2,1000000,25000,10,cuda,1202.37,2.9.0,2.12.1+cu126
Hopper-v5__PPO__seed03__steps1000000,Hopper-v5,PPO,3,1000000,25000,10,cuda,1175.07,2.9.0,2.12.1+cu126
Hopper-v5__PPO__seed04__steps1000000,Hopper-v5,PPO,4,1000000,25000,10,cuda,1187.96,2.9.0,2.12.1+cu126
Hopper-v5__PPO__seed05__steps1000000,Hopper-v5,PPO,5,1000000,25000,10,cuda,1183.15,2.9.0,2.12.1+cu126
Hopper-v5__PPO__seed06__steps1000000,Hopper-v5,PPO,6,1000000,25000,10,cuda,1188.5,2.9.0,2.12.1+cu126
Hopper-v5__PPO__seed07__steps1000000,Hopper-v5,PPO,7,1000000,25000,10,cuda,1485.31,2.9.0,2.12.1+cu126
Hopper-v5__PPO__seed08__steps1000000,Hopper-v5,PPO,8,1000000,25000,10,cuda,1148.07,2.9.0,2.12.1+cu126
Hopper-v5__PPO__seed09__steps1000000,Hopper-v5,PPO,9,1000000,25000,10,cuda,1168.88,2.9.0,2.12.1+cu126
Hopper-v5__SAC__seed00__steps1000000,Hopper-v5,SAC,0,1000000,25000,10,cuda,600.5,2.9.0,2.12.1+cu126
Hopper-v5__SAC__seed01__steps1000000,Hopper-v5,SAC,1,1000000,25000,10,cuda,604.34,2.9.0,2.12.1+cu126
Hopper-v5__SAC__seed02__steps1000000,Hopper-v5,SAC,2,1000000,25000,10,cuda,621.03,2.9.0,2.12.1+cu126
Hopper-v5__SAC__seed03__steps1000000,Hopper-v5,SAC,3,1000000,25000,10,cuda,598.66,2.9.0,2.12.1+cu126
Hopper-v5__SAC__seed04__steps1000000,Hopper-v5,SAC,4,1000000,25000,10,cuda,592.11,2.9.0,2.12.1+cu126
Hopper-v5__SAC__seed05__steps1000000,Hopper-v5,SAC,5,1000000,25000,10,cuda,591.69,2.9.0,2.12.1+cu126
Hopper-v5__SAC__seed06__steps1000000,Hopper-v5,SAC,6,1000000,25000,10,cuda,603.62,2.9.0,2.12.1+cu126
Hopper-v5__SAC__seed07__steps1000000,Hopper-v5,SAC,7,1000000,25000,10,cuda,575.67,2.9.0,2.12.1+cu126
Hopper-v5__SAC__seed08__steps1000000,Hopper-v5,SAC,8,1000000,25000,10,cuda,580.01,2.9.0,2.12.1+cu126
Hopper-v5__SAC__seed09__steps1000000,Hopper-v5,SAC,9,1000000,25000,10,cuda,656.75,2.9.0,2.12.1+cu126
Hopper-v5__TD3__seed00__steps1000000,Hopper-v5,TD3,0,1000000,25000,10,cuda,307.88,2.9.0,2.12.1+cu126
Hopper-v5__TD3__seed01__steps1000000,Hopper-v5,TD3,1,1000000,25000,10,cuda,303.3,2.9.0,2.12.1+cu126
Hopper-v5__TD3__seed02__steps1000000,Hopper-v5,TD3,2,1000000,25000,10,cuda,297.1,2.9.0,2.12.1+cu126
Hopper-v5__TD3__seed03__steps1000000,Hopper-v5,TD3,3,1000000,25000,10,cuda,302.95,2.9.0,2.12.1+cu126
Hopper-v5__TD3__seed04__steps1000000,Hopper-v5,TD3,4,1000000,25000,10,cuda,320.13,2.9.0,2.12.1+cu126
Hopper-v5__TD3__seed05__steps1000000,Hopper-v5,TD3,5,1000000,25000,10,cuda,302.09,2.9.0,2.12.1+cu126
Hopper-v5__TD3__seed06__steps1000000,Hopper-v5,TD3,6,1000000,25000,10,cuda,306.17,2.9.0,2.12.1+cu126
Hopper-v5__TD3__seed07__steps1000000,Hopper-v5,TD3,7,1000000,25000,10,cuda,306.81,2.9.0,2.12.1+cu126
Hopper-v5__TD3__seed08__steps1000000,Hopper-v5,TD3,8,1000000,25000,10,cuda,307.12,2.9.0,2.12.1+cu126
Hopper-v5__TD3__seed09__steps1000000,Hopper-v5,TD3,9,1000000,25000,10,cuda,300.69,2.9.0,2.12.1+cu126
Hopper-v5__DDPG__seed00__steps1000000,Hopper-v5,DDPG,0,1000000,25000,10,cuda,329.55,2.9.0,2.12.1+cu126
Hopper-v5__DDPG__seed01__steps1000000,Hopper-v5,DDPG,1,1000000,25000,10,cuda,326.99,2.9.0,2.12.1+cu126
