run_id,environment,algorithm,seed,total_timesteps,eval_freq,n_eval_episodes,device,wall_clock_seconds,sb3_version,torch_version
Walker2d-v5__PPO__seed00__steps1000000,Walker2d-v5,PPO,0,1000000,25000,10,cuda,1354.47,2.9.0,2.12.1+cu126
Walker2d-v5__PPO__seed01__steps1000000,Walker2d-v5,PPO,1,1000000,25000,10,cuda,1229.55,2.9.0,2.12.1+cu126
Walker2d-v5__PPO__seed02__steps1000000,Walker2d-v5,PPO,2,1000000,25000,10,cuda,1229.5,2.9.0,2.12.1+cu126
Walker2d-v5__PPO__seed03__steps1000000,Walker2d-v5,PPO,3,1000000,25000,10,cuda,1195.78,2.9.0,2.12.1+cu126
Walker2d-v5__PPO__seed04__steps1000000,Walker2d-v5,PPO,4,1000000,25000,10,cuda,1212.72,2.9.0,2.12.1+cu126
Walker2d-v5__PPO__seed05__steps1000000,Walker2d-v5,PPO,5,1000000,25000,10,cuda,1209.17,2.9.0,2.12.1+cu126
Walker2d-v5__PPO__seed06__steps1000000,Walker2d-v5,PPO,6,1000000,25000,10,cuda,1258.02,2.9.0,2.12.1+cu126
Walker2d-v5__PPO__seed07__steps1000000,Walker2d-v5,PPO,7,1000000,25000,10,cuda,1462.39,2.9.0,2.12.1+cu126
Walker2d-v5__PPO__seed08__steps1000000,Walker2d-v5,PPO,8,1000000,25000,10,cuda,1178.86,2.9.0,2.12.1+cu126
Walker2d-v5__PPO__seed09__steps1000000,Walker2d-v5,PPO,9,1000000,25000,10,cuda,1191.31,2.9.0,2.12.1+cu126
Walker2d-v5__SAC__seed00__steps1000000,Walker2d-v5,SAC,0,1000000,25000,10,cuda,0.0,2.9.0,2.12.1+cu126
Walker2d-v5__SAC__seed01__steps1000000,Walker2d-v5,SAC,1,1000000,25000,10,cuda,0.0,2.9.0,2.12.1+cu126
Walker2d-v5__SAC__seed02__steps1000000,Walker2d-v5,SAC,2,1000000,25000,10,cuda,0.0,2.9.0,2.12.1+cu126
Walker2d-v5__SAC__seed03__steps1000000,Walker2d-v5,SAC,3,1000000,25000,10,cuda,0.0,2.9.0,2.12.1+cu126
Walker2d-v5__SAC__seed04__steps1000000,Walker2d-v5,SAC,4,1000000,25000,10,cuda,0.0,2.9.0,2.12.1+cu126
Walker2d-v5__SAC__seed05__steps1000000,Walker2d-v5,SAC,5,1000000,25000,10,cuda,0.0,2.9.0,2.12.1+cu126
Walker2d-v5__SAC__seed06__steps1000000,Walker2d-v5,SAC,6,1000000,25000,10,cuda,0.0,2.9.0,2.12.1+cu126
Walker2d-v5__SAC__seed07__steps1000000,Walker2d-v5,SAC,7,1000000,25000,10,cuda,0.0,2.9.0,2.12.1+cu126
Walker2d-v5__SAC__seed08__steps1000000,Walker2d-v5,SAC,8,1000000,25000,10,cuda,0.0,2.9.0,2.12.1+cu126
Walker2d-v5__SAC__seed09__steps1000000,Walker2d-v5,SAC,9,1000000,25000,10,cuda,0.0,2.9.0,2.12.1+cu126
Walker2d-v5__TD3__seed00__steps1000000,Walker2d-v5,TD3,0,1000000,25000,10,cuda,0.0,2.9.0,2.12.1+cu126
Walker2d-v5__TD3__seed01__steps1000000,Walker2d-v5,TD3,1,1000000,25000,10,cuda,0.0,2.9.0,2.12.1+cu126
Walker2d-v5__TD3__seed02__steps1000000,Walker2d-v5,TD3,2,1000000,25000,10,cuda,0.0,2.9.0,2.12.1+cu126
Walker2d-v5__TD3__seed03__steps1000000,Walker2d-v5,TD3,3,1000000,25000,10,cuda,0.0,2.9.0,2.12.1+cu126
